symbol,direction,entry_time,entry_price,sl_price,tp_price,exit_time,exit_price,exit_type,pnl_gross,entry_commission,exit_commission,pnl_net,roi_pct,duration_hours
ARB/USDT,LONG,2025-11-01 16:00:00,0.3063,0.30153214285714286,0.31583571428571433,2025-11-02 14:00:00,0.30153214285714286,SL,-15.565971736392937,0.5,0.5,-16.56597173639294,-16.56597173639294,22
ARB/USDT,LONG,2025-11-02 05:00:00,0.3107,0.30659642857142855,0.31890714285714283,2025-11-02 10:00:00,0.30659642857142855,SL,-13.207503793277853,0.5,0.5,-14.207503793277853,-14.207503793277853,5
TRX/USDT,LONG,2025-11-03 00:00:00,0.29778,0.2966196428571429,0.3001007142857143,2025-11-03 02:00:00,0.2966196428571429,SL,-3.896692668604728,0.5,0.5,-4.896692668604728,-4.896692668604728,2
DOGE/USDT,SHORT,2025-11-03 07:00:00,0.17341,0.1771257142857143,0.16597857142857142,2025-11-03 15:00:00,0.16597857142857142,TP,42.85467142280484,0.5,0.5,41.85467142280484,41.85467142280484,8
ATOM/USDT,SHORT,2025-11-03 07:00:00,2.849,2.9110357142857146,2.7249285714285714,2025-11-03 15:00:00,2.7249285714285714,TP,43.54911497768649,0.5,0.5,42.54911497768649,42.54911497768649,8
ADA/USDT,SHORT,2025-11-03 07:00:00,0.5768,0.5892392857142857,0.5519214285714285,2025-11-03 15:00:00,0.5519214285714285,TP,43.13205864870237,0.5,0.5,42.13205864870237,42.13205864870237,8
OP/USDT,SHORT,2025-11-03 16:00:00,0.36,0.37607142857142856,0.32785714285714285,2025-11-04 20:00:00,0.32785714285714285,TP,89.28571428571428,0.5,0.5,88.28571428571428,88.28571428571428,28
ATOM/USDT,SHORT,2025-11-03 16:00:00,2.652,2.738571428571429,2.478857142857143,2025-11-03 22:00:00,2.478857142857143,TP,65.28765352294761,0.5,0.5,64.28765352294761,64.28765352294761,6
ADA/USDT,SHORT,2025-11-03 16:00:00,0.5593,0.5780714285714286,0.5217571428571429,2025-11-04 17:00:00,0.5217571428571429,TP,67.12472222931717,0.5,0.5,66.12472222931717,66.12472222931717,25
APT/USDT,SHORT,2025-11-04 06:00:00,2.6782,2.7859214285714287,2.462757142857143,2025-11-04 20:00:00,2.462757142857143,TP,80.44315478413003,0.5,0.5,79.44315478413003,79.44315478413003,14
DOGE/USDT,SHORT,2025-11-04 21:00:00,0.15904,0.16610821428571426,0.1449035714285714,2025-11-05 05:00:00,0.16610821428571426,SL,-44.4429972693302,0.5,0.5,-45.4429972693302,-45.4429972693302,8
ADA/USDT,SHORT,2025-11-04 21:00:00,0.5104,0.5311857142857143,0.46882857142857143,2025-11-05 03:00:00,0.5311857142857143,SL,-40.724361845051526,0.5,0.5,-41.724361845051526,-41.724361845051526,6
ADA/USDT,SHORT,2025-11-05 01:00:00,0.5118,0.5352428571428571,0.4649142857142858,2025-11-05 04:00:00,0.5352428571428571,SL,-45.80472282699706,0.5,0.5,-46.80472282699706,-46.80472282699706,3
DOGE/USDT,SHORT,2025-11-06 12:00:00,0.1612,0.1638175,0.15596500000000002,2025-11-07 02:00:00,0.1638175,SL,-16.237593052109148,0.5,0.5,-17.237593052109148,-17.237593052109148,14
OP/USDT,SHORT,2025-11-06 12:00:00,0.3568,0.36378571428571427,0.3428285714285715,2025-11-06 13:00:00,0.36378571428571427,SL,-19.578795643817998,0.5,0.5,-20.578795643817998,-20.578795643817998,1
ATOM/USDT,SHORT,2025-11-06 12:00:00,2.571,2.6142857142857143,2.4844285714285714,2025-11-06 13:00:00,2.6142857142857143,SL,-16.83613935655937,0.5,0.5,-17.83613935655937,-17.83613935655937,1
LINK/USDT,SHORT,2025-11-06 13:00:00,15.026,15.323428571428572,14.431142857142857,2025-11-06 15:00:00,14.431142857142857,TP,39.58852275104101,0.5,0.5,38.58852275104101,38.58852275104101,2
DOGE/USDT,SHORT,2025-11-06 15:00:00,0.15907,0.16218785714285713,0.1528342857142857,2025-11-06 21:00:00,0.16218785714285713,SL,-19.600535254021153,0.5,0.5,-20.600535254021153,-20.600535254021153,6
ARB/USDT,SHORT,2025-11-06 20:00:00,0.2626,0.27000357142857145,0.24779285714285715,2025-11-07 01:00:00,0.27000357142857145,SL,-28.19334131215329,0.5,0.5,-29.19334131215329,-29.193341312153294,5
ATOM/USDT,LONG,2025-11-07 01:00:00,2.699,2.6248571428571426,2.847285714285714,2025-11-07 15:00:00,2.847285714285714,TP,54.940983433017465,0.5,0.5,53.940983433017465,53.940983433017465,14
DOT/USDT,LONG,2025-11-07 01:00:00,2.769,2.676214285714286,2.9545714285714286,2025-11-07 16:00:00,2.9545714285714286,TP,67.01748955270078,0.5,0.5,66.01748955270078,66.01748955270078,15
FIL/USDT,LONG,2025-11-07 06:00:00,2.163,1.9163571428571429,2.6562857142857137,2025-11-07 16:00:00,2.6562857142857137,TP,228.05627105211,0.5,0.5,227.05627105211,227.05627105210996,10
DOT/USDT,LONG,2025-11-08 05:00:00,3.328,3.1437142857142857,3.6965714285714286,2025-11-08 15:00:00,3.1437142857142857,SL,-55.37431318681315,0.5,0.5,-56.37431318681315,-56.374313186813154,10
OP/USDT,LONG,2025-11-09 16:00:00,0.4278,0.41707500000000003,0.44925000000000004,2025-11-10 22:00:00,0.44925000000000004,TP,50.140252454418004,0.5,0.5,49.140252454418004,49.140252454418004,30
OP/USDT,LONG,2025-11-10 00:00:00,0.4334,0.4225892857142857,0.4550214285714286,2025-11-11 08:00:00,0.4225892857142857,SL,-24.943964664776843,0.5,0.5,-25.943964664776843,-25.943964664776843,32
ADA/USDT,LONG,2025-11-10 00:00:00,0.587,0.5747857142857142,0.6114285714285713,2025-11-11 10:00:00,0.5747857142857142,SL,-20.807982477488473,0.5,0.5,-21.807982477488473,-21.807982477488473,34
TRX/USDT,LONG,2025-11-11 00:00:00,0.2971,0.29532785714285714,0.3006442857142857,2025-11-11 15:00:00,0.3006442857142857,TP,11.929605231523805,0.5,0.5,10.929605231523805,10.929605231523805,15
ADA/USDT,SHORT,2025-11-11 19:00:00,0.562,0.5725535714285714,0.5408928571428573,2025-11-12 10:00:00,0.5725535714285714,SL,-18.778596847991786,0.5,0.5,-19.778596847991786,-19.778596847991786,15
ARB/USDT,SHORT,2025-11-12 15:00:00,0.2651,0.27239642857142854,0.2505071428571429,2025-11-13 17:00:00,0.2505071428571429,TP,55.04661313789939,0.5,0.5,54.04661313789939,54.04661313789939,26
ARB/USDT,SHORT,2025-11-12 22:00:00,0.2596,0.26728214285714286,0.2442357142857143,2025-11-13 03:00:00,0.26728214285714286,SL,-29.59222980409422,0.5,0.5,-30.59222980409422,-30.592229804094217,5
ADA/USDT,SHORT,2025-11-13 16:00:00,0.5417,0.5560678571428571,0.5129642857142857,2025-11-14 04:00:00,0.5129642857142857,TP,53.047285002241665,0.5,0.5,52.047285002241665,52.04728500224166,12
LINK/USDT,SHORT,2025-11-13 16:00:00,15.007,15.434392857142857,14.152214285714285,2025-11-13 20:00:00,14.152214285714285,TP,56.95913335681447,0.5,0.5,55.95913335681447,55.95913335681447,4
OP/USDT,SHORT,2025-11-14 04:00:00,0.3742,0.3904535714285714,0.34169285714285713,2025-11-14 06:00:00,0.3904535714285714,SL,-43.43551958463769,0.5,0.5,-44.43551958463769,-44.43551958463769,2
ADA/USDT,SHORT,2025-11-14 04:00:00,0.5166,0.5317928571428571,0.48621428571428565,2025-11-16 15:00:00,0.48621428571428565,TP,58.81864941098393,0.5,0.5,57.81864941098393,57.81864941098394,59
TRX/USDT,SHORT,2025-11-14 04:00:00,0.28857,0.2920714285714286,0.28156714285714285,2025-11-14 07:00:00,0.2920714285714286,SL,-12.133723434274525,0.5,0.5,-13.133723434274525,-13.133723434274525,3
APT/USDT,SHORT,2025-11-16 16:00:00,2.7869,2.8466000000000005,2.6675,2025-11-17 00:00:00,2.8466000000000005,SL,-21.4216512971403,0.5,0.5,-22.4216512971403,-22.4216512971403,8
DOGE/USDT,SHORT,2025-11-17 19:00:00,0.15219,0.15668892857142858,0.14319214285714285,2025-11-18 08:00:00,0.15668892857142858,SL,-29.561262707330208,0.5,0.5,-30.561262707330208,-30.561262707330204,13
OP/USDT,SHORT,2025-11-17 19:00:00,0.3597,0.37236428571428576,0.33437142857142854,2025-11-18 02:00:00,0.37236428571428576,SL,-35.20791135470041,0.5,0.5,-36.20791135470041,-36.20791135470041,7
TRX/USDT,SHORT,2025-11-17 19:00:00,0.29051,0.29359785714285713,0.28433428571428565,2025-11-19 15:00:00,0.28433428571428565,TP,21.25818142478517,0.5,0.5,20.25818142478517,20.25818142478517,44
DOGE/USDT,SHORT,2025-11-19 14:00:00,0.15748,0.1601232142857143,0.15219357142857143,2025-11-19 16:00:00,0.15219357142857143,TP,33.56888856634862,0.5,0.5,32.56888856634862,32.56888856634862,2
FIL/USDT,SHORT,2025-11-19 14:00:00,1.879,1.9446785714285715,1.7476428571428573,2025-11-21 04:00:00,1.7476428571428573,TP,69.9080057781494,0.5,0.5,68.9080057781494,68.9080057781494,38
LINK/USDT,SHORT,2025-11-19 17:00:00,12.957,13.263428571428573,12.344142857142858,2025-11-19 21:00:00,13.263428571428573,SL,-23.649654351205708,0.5,0.5,-24.649654351205708,-24.649654351205708,4
ARB/USDT,SHORT,2025-11-19 17:00:00,0.223,0.22865714285714286,0.21168571428571428,2025-11-19 21:00:00,0.22865714285714286,SL,-25.36835361947471,0.5,0.5,-26.36835361947471,-26.36835361947471,4
ARB/USDT,LONG,2025-11-20 12:00:00,0.2398,0.23595357142857143,0.24749285714285718,2025-11-20 14:00:00,0.23595357142857143,SL,-16.040152508042468,0.5,0.5,-17.040152508042468,-17.040152508042468,2
ATOM/USDT,LONG,2025-11-20 13:00:00,2.994,2.902071428571429,3.1778571428571434,2025-11-20 16:00:00,2.902071428571429,SL,-30.70426567420553,0.5,0.5,-31.70426567420553,-31.70426567420553,3
ADA/USDT,SHORT,2025-11-21 03:00:00,0.4298,0.44370714285714286,0.4019857142857143,2025-11-21 07:00:00,0.4019857142857143,TP,64.71448514259129,0.5,0.5,63.714485142591286,63.71448514259128,4
DOGE/USDT,SHORT,2025-11-21 07:00:00,0.14024,0.14552535714285714,0.1296692857142857,2025-11-23 14:00:00,0.14552535714285714,SL,-37.68794311792023,0.5,0.5,-38.68794311792023,-38.68794311792023,55
TRX/USDT,SHORT,2025-11-21 07:00:00,0.27543,0.27876,0.26877,2025-11-21 08:00:00,0.27876,SL,-12.090186254220672,0.5,0.5,-13.090186254220672,-13.090186254220674,1
DOT/USDT,SHORT,2025-11-21 07:00:00,2.399,2.493392857142857,2.2102142857142857,2025-11-25 14:00:00,2.2102142857142857,TP,78.6935032453999,0.5,0.5,77.6935032453999,77.6935032453999,103
TRX/USDT,SHORT,2025-11-21 13:00:00,0.27691,0.28055071428571426,0.2696285714285714,2025-11-28 05:00:00,0.28055071428571426,SL,-13.147644670522102,0.5,0.5,-14.147644670522102,-14.147644670522103,160
DOT/USDT,SHORT,2025-11-23 16:00:00,2.297,2.3321428571428573,2.226714285714286,2025-11-24 02:00:00,2.3321428571428573,SL,-15.299458921574724,0.5,0.5,-16.299458921574725,-16.299458921574725,10
ATOM/USDT,SHORT,2025-11-24 13:00:00,2.42,2.4651071428571427,2.329785714285714,2025-11-24 16:00:00,2.4651071428571427,SL,-18.639315230224295,0.5,0.5,-19.639315230224295,-19.639315230224295,3
APT/USDT,SHORT,2025-11-25 12:00:00,2.2524,2.2927392857142856,2.171721428571429,2025-11-25 17:00:00,2.2927392857142856,SL,-17.909467996042206,0.5,0.5,-18.909467996042206,-18.909467996042206,5
ATOM/USDT,SHORT,2025-11-25 14:00:00,2.446,2.4850000000000003,2.3680000000000003,2025-11-25 22:00:00,2.4850000000000003,SL,-15.944399018806275,0.5,0.5,-16.944399018806273,-16.944399018806273,8
LINK/USDT,LONG,2025-11-25 21:00:00,12.982,12.696357142857142,13.553285714285714,2025-11-27 02:00:00,13.553285714285714,TP,44.00598631071596,0.5,0.5,43.00598631071596,43.00598631071596,29
APT/USDT,SHORT,2025-11-26 16:00:00,2.1973,2.2415499999999997,2.1088,2025-11-26 17:00:00,2.2415499999999997,SL,-20.138351613343605,0.5,0.5,-21.138351613343605,-21.138351613343605,1
TRX/USDT,LONG,2025-11-26 17:00:00,0.27551,0.27439892857142856,0.27773214285714287,2025-11-27 11:00:00,0.27773214285714287,TP,8.065561530045715,0.5,0.5,7.065561530045715,7.065561530045715,18
OP/USDT,LONG,2025-11-27 14:00:00,0.3365,0.33080000000000004,0.34790000000000004,2025-11-28 02:00:00,0.33080000000000004,SL,-16.939078751857302,0.5,0.5,-17.939078751857302,-17.939078751857302,12
TRX/USDT,LONG,2025-11-27 15:00:00,0.27832,0.27737285714285714,0.2802142857142857,2025-11-27 18:00:00,0.2802142857142857,TP,6.806142980330848,0.5,0.5,5.806142980330848,5.806142980330848,3
TRX/USDT,LONG,2025-11-28 00:00:00,0.28002,0.27887464285714286,0.28231071428571425,2025-11-30 14:00:00,0.28231071428571425,TP,8.180538124827716,0.5,0.5,7.1805381248277165,7.1805381248277165,62
APT/USDT,SHORT,2025-11-28 05:00:00,2.2026,2.2429821428571426,2.1218357142857145,2025-11-28 08:00:00,2.2429821428571426,SL,-18.333852200645918,0.5,0.5,-19.333852200645918,-19.333852200645918,3
TRX/USDT,LONG,2025-11-28 06:00:00,0.28093,0.27971607142857147,0.28335785714285716,2025-11-28 08:00:00,0.27971607142857147,SL,-4.3211069356371565,0.5,0.5,-5.3211069356371565,-5.3211069356371565,2
ATOM/USDT,SHORT,2025-11-28 17:00:00,2.445,2.488178571428571,2.358642857142857,2025-12-01 00:00:00,2.358642857142857,TP,35.31989482909735,0.5,0.5,34.31989482909735,34.31989482909735,55
APT/USDT,SHORT,2025-11-28 17:00:00,2.1303,2.185403571428571,2.0200928571428576,2025-11-29 14:00:00,2.0200928571428576,TP,51.73315629589377,0.5,0.5,50.73315629589377,50.733156295893764,21
ATOM/USDT,SHORT,2025-11-29 14:00:00,2.401,2.425535714285714,2.351928571428571,2025-11-29 16:00:00,2.425535714285714,SL,-10.21895638721963,0.5,0.5,-11.21895638721963,-11.21895638721963,2
DOT/USDT,SHORT,2025-11-29 17:00:00,2.237,2.2631428571428573,2.184714285714286,2025-11-30 00:00:00,2.2631428571428573,SL,-11.68657002362863,0.5,0.5,-12.68657002362863,-12.68657002362863,7
TRX/USDT,LONG,2025-11-30 18:00:00,0.28236,0.2811225,0.284835,2025-12-01 00:00:00,0.2811225,SL,-4.382702932426698,0.5,0.5,-5.382702932426698,-5.382702932426698,6
TRX/USDT,SHORT,2025-12-01 04:00:00,0.27679,0.27862321428571424,0.2731235714285714,2025-12-01 04:00:00,0.27679,OPEN,0.0,0.5,0.5,-1.0,-1.0,0
